full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
José Ángel Esmoris Tasende,23,Bundesliga,Defender,RB Leipzig,1095,564,531,13,7,6,1,0,1,2,0,8,5,3,2,0.25,0.16,0.08,0,0.17,1095,84,548
Joshua Brenet,26,Bundesliga,Defender,Hoffenheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Kimmich,25,Bundesliga,Midfielder,Bayern München,2822,1507,1315,33,17,16,4,1,3,7,0,29,15,14,7,0.35,0.22,0.13,0.06,0.21,706,86,403
Joshua Mees,24,Bundesliga,Midfielder,Union Berlin,312,211,101,15,9,6,0,0,0,1,0,1,0,1,1,0.29,0.29,0,0,0,0,21,312
Joshua Sargent,20,Bundesliga,Forward,Werder Bremen,1418,626,792,28,14,14,4,3,1,2,0,21,10,11,2,0.38,0.13,0.25,0.43,0.11,355,51,709
Joshua Zirkzee,19,Bundesliga,Forward,Bayern München,293,203,90,9,7,2,4,2,2,0,0,1,1,0,0,1.23,0,1.23,0.89,2,73,33,0
Josip Brekalo,22,Bundesliga,Midfielder,Wolfsburg,1675,870,805,30,16,14,3,2,1,4,0,23,11,12,0,0.38,0.21,0.16,0.21,0.11,558,56,419
Josuha Guilavogui,30,Bundesliga,Midfielder,Wolfsburg,2063,1061,1002,25,12,13,0,0,0,1,0,27,12,15,7,0.04,0.04,0,0,0,0,83,2063
Jozo Stanic,21,Bundesliga,Defender,Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Miranda González,20,Bundesliga,Defender,Schalke 04,781,406,375,11,5,6,0,0,0,0,0,15,7,8,2,0,0,0,0,0,0,71,0
Julian Baumgartlinger,32,Bundesliga,Midfielder,Bayer Leverkusen,1791,932,859,27,14,13,2,1,1,2,0,29,15,14,4,0.2,0.1,0.1,0.1,0.1,896,66,896
Julian Brandt,24,Bundesliga,Midfielder,Borussia Dortmund,2210,1125,1085,33,16,17,3,2,1,7,0,30,11,19,0,0.41,0.29,0.12,0.16,0.08,737,67,316
Julian Justvan,22,Bundesliga,Forward,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Krahl,20,Bundesliga,Goalkeeper,Köln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Rieckmann,20,Bundesliga,Defender,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Ryerson,22,Bundesliga,Defender,Union Berlin,357,121,236,14,7,7,0,0,0,0,0,7,1,6,2,0,0,0,0,0,0,26,0
Julian Schieber,31,Bundesliga,Forward,Augsburg,41,41,0,2,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,21,0
Julian Weigl,25,Bundesliga,Midfielder,Borussia Dortmund,1021,552,469,13,7,6,1,1,0,0,0,17,9,8,4,0.09,0,0.09,0.16,0,1021,79,0
Julius Kade,21,Bundesliga,Midfielder,Union Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jürgen Locadia,27,Bundesliga,Forward,Hoffenheim,526,347,179,11,8,3,4,2,2,0,1,8,6,2,1,0.68,0,0.68,0.52,1.01,132,48,0
Kaan Ayhan,26,Bundesliga,Defender,Fortuna Düsseldorf,2733,1523,1210,31,17,14,2,1,1,3,0,51,26,25,10,0.16,0.1,0.07,0.06,0.07,1367,88,911
Kaan Kurt,18,Bundesliga,Midfielder,Borussia M'gladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz,21,Bundesliga,Midfielder,Bayer Leverkusen,2462,1119,1343,30,14,16,12,4,8,6,1,34,14,20,3,0.66,0.22,0.44,0.32,0.54,205,82,410
Kai Pröger,28,Bundesliga,Midfielder,Paderborn,2078,1055,1023,31,16,15,2,2,0,6,0,43,26,17,0,0.35,0.26,0.09,0.17,0,1039,67,346
Karim Bellarabi,30,Bundesliga,Midfielder,Bayer Leverkusen,1426,852,574,26,13,13,4,1,3,6,0,20,11,9,2,0.63,0.38,0.25,0.11,0.47,357,55,238
Karim Onisiwo,28,Bundesliga,Midfielder,Mainz 05,1722,810,912,32,16,16,4,3,1,6,0,32,11,21,3,0.52,0.31,0.21,0.33,0.1,431,54,287
Karim Rekik,25,Bundesliga,Defender,Hertha BSC,1260,630,630,14,7,7,1,0,1,0,0,27,15,12,0,0.07,0,0.07,0,0.14,1260,90,0
Kasim Adams Nuhu,25,Bundesliga,Defender,Fortuna Düsseldorf,998,358,640,13,5,8,1,0,1,0,0,27,7,20,0,0.09,0,0.09,0,0.14,998,77,0
Keanan Bennetts,21,Bundesliga,Midfielder,Borussia M'gladbach,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
