full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
José Luis Palomino,30,Serie A,Defender,Atalanta,2482,1178,1304,30,14,16,2,2,0,1,0,31,16,15,5,0.11,0.04,0.07,0.15,0,1241,83,2482
José Ndong Machín Dicombo,24,Serie A,Midfielder,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Minala,24,Serie A,Midfielder,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josip Iličić,32,Serie A,Midfielder,Atalanta,1672,836,836,26,13,13,15,9,6,5,0,23,12,11,2,1.08,0.27,0.81,0.97,0.65,111,64,334
Juan Agustín Musso,26,Serie A,Goalkeeper,Udinese,3420,1710,1710,38,19,19,0,0,0,0,0,46,21,25,1,0,0,0,0,0,0,90,0
Juan Cuadrado,32,Serie A,Midfielder,Juventus,2651,1440,1211,33,16,17,2,2,0,5,0,25,10,15,8,0.24,0.17,0.07,0.13,0,1326,80,530
Juan Jesus,40,Serie A,Midfielder,Roma,137,100,37,4,2,2,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,34,0
Julian Chabot,22,Serie A,Defender,Sampdoria,570,180,390,8,2,6,1,0,1,0,0,13,4,9,2,0.16,0,0.16,0,0.23,570,71,0
Júnior Costa,36,Serie A,Goalkeeper,Bologna,90,90,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,90,0
Juraj Kucka,33,Serie A,Midfielder,Parma,1934,995,939,26,13,13,6,2,4,3,2,27,11,16,6,0.42,0.14,0.28,0.18,0.38,322,74,645
Justin Kluivert,21,Serie A,Forward,Roma,1523,528,995,22,7,15,4,1,3,1,0,20,7,13,6,0.3,0.06,0.24,0.17,0.27,381,69,1523
Kaique Rocha Lima,19,Serie A,Defender,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalidou Koulibaly,29,Serie A,Defender,Napoli,2109,1119,990,25,14,11,0,0,0,0,0,33,15,18,8,0,0,0,0,0,0,84,0
Karlo Letica,23,Serie A,Goalkeeper,SPAL,900,450,450,10,5,5,0,0,0,0,0,25,13,12,1,0,0,0,0,0,0,90,0
Karol Linetty,25,Serie A,Midfielder,Sampdoria,2021,1112,909,28,16,12,4,3,1,3,0,41,24,17,4,0.31,0.13,0.18,0.24,0.1,505,72,674
Kastriot Dermaku,28,Serie A,Defender,Parma,1022,541,481,16,8,8,0,0,0,0,0,14,5,9,2,0,0,0,0,0,0,64,0
Ken Sema,27,Serie A,Midfielder,Udinese,2466,1405,1061,32,18,14,2,1,1,1,0,31,16,15,6,0.11,0.04,0.07,0.06,0.08,1233,77,2466
