full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Bassem Srarfi,23,Ligue 1,Midfielder,Nice,132,35,97,3,1,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,44,0
Bastian Badu,20,Ligue 1,Forward,Montpellier,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Batista Mendy,20,Ligue 1,Defender,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Qadir Abou Ouattara,20,Ligue 1,Forward,Lille,8,8,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0
Benjamin André,30,Ligue 1,Midfielder,Lille,2055,1076,979,26,14,12,2,1,1,1,0,20,7,13,7,0.13,0.04,0.09,0.08,0.09,1028,79,2055
Benjamin Bourigeaud,26,Ligue 1,Midfielder,Rennes,1904,1080,824,25,14,11,2,1,1,2,0,17,11,6,5,0.19,0.09,0.09,0.08,0.11,952,76,952
Benjamin Corgnet,33,Ligue 1,Midfielder,Strasbourg,260,98,162,6,3,3,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,43,0
Benjamin Henrichs,23,Ligue 1,Defender,Monaco,889,439,450,13,8,5,0,0,0,0,0,18,8,10,3,0,0,0,0,0,0,68,0
Benjamin Jeannot,28,Ligue 1,Forward,Dijon,168,78,90,2,1,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,84,0
Benjamin Lecomte,29,Ligue 1,Goalkeeper,Monaco,2520,1260,1260,28,14,14,0,0,0,0,0,42,21,21,1,0,0,0,0,0,0,90,0
Benoît Badiashile Mukinayi,19,Ligue 1,Defender,Monaco,1413,540,873,16,6,10,0,0,0,0,0,23,7,16,0,0,0,0,0,0,0,88,0
Benoît Costil,33,Ligue 1,Goalkeeper,Bordeaux,2520,1170,1350,28,13,15,0,0,0,0,0,30,11,19,1,0,0,0,0,0,0,90,0
Bertrand Traoré,25,Ligue 1,Forward,Olympique Lyonnais,1254,541,713,23,11,12,1,1,0,3,0,10,2,8,6,0.29,0.22,0.07,0.17,0,1254,55,418
Bilal Benkhedim,19,Ligue 1,Midfielder,Saint-Étienne,130,30,100,3,1,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,43,0
Bilal Boutobba,22,Ligue 1,Midfielder,Montpellier,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Bingourou Kamara,24,Ligue 1,Goalkeeper,Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bongani Zungu,28,Ligue 1,Midfielder,Amiens SC,985,343,642,21,10,11,1,1,0,0,0,27,9,18,4,0.09,0,0.09,0.26,0,985,47,0
Boubacar Kamara,20,Ligue 1,Defender,Olympique Marseille,2141,1061,1080,24,12,12,1,1,0,2,0,20,9,11,8,0.13,0.08,0.04,0.08,0,2141,89,1071
Boubacar Traore,19,Ligue 1,Midfielder,Metz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boubakary Soumaré,21,Ligue 1,Midfielder,Lille,1216,527,689,20,10,10,0,0,0,0,0,17,5,12,3,0,0,0,0,0,0,61,0
Boulaye Dia,23,Ligue 1,Midfielder,Reims,1818,822,996,24,10,14,7,2,5,1,1,15,5,10,0,0.4,0.05,0.35,0.22,0.45,260,76,1818
Bouna Sarr,28,Ligue 1,Forward,Olympique Marseille,2170,967,1203,27,13,14,1,1,0,3,0,19,6,13,3,0.17,0.12,0.04,0.09,0,2170,80,723
Brendan Chardonnet,25,Ligue 1,Defender,Brest,821,303,518,12,6,6,0,0,0,0,0,12,3,9,4,0,0,0,0,0,0,68,0
Bridge Ndilu,20,Ligue 1,Forward,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Écuélé Manga,32,Ligue 1,Defender,Dijon,2520,1260,1260,28,14,14,0,0,0,0,0,34,13,21,2,0,0,0,0,0,0,90,0
Bruno Guimarães Rodriguez Moura,22,Ligue 1,Midfielder,Olympique Lyonnais,270,90,180,3,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,90,0
Bryan Soumaré,21,Ligue 1,Midfielder,Dijon,379,133,246,12,4,8,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,32,0
Casimir Ninga,27,Ligue 1,Forward,Angers SCO,677,287,390,16,9,7,3,3,0,1,0,8,3,5,3,0.53,0.13,0.4,0.94,0,226,42,677
Cesc Fabregas,33,Ligue 1,Midfielder,Monaco,934,661,273,18,9,9,0,0,0,3,0,21,14,7,2,0.29,0.29,0,0,0,0,52,311
Chadrac Akolo,25,Ligue 1,Forward,Amiens SC,540,256,284,15,5,10,2,0,2,1,0,15,4,11,1,0.5,0.17,0.33,0,0.63,270,36,540
Charels Nathan Abi,20,Ligue 1,Forward,Saint-Étienne,618,352,266,15,7,8,0,0,0,0,0,13,6,7,2,0,0,0,0,0,0,41,0
Charles Traoré,28,Ligue 1,Defender,Nantes,1742,963,779,20,11,9,0,0,0,1,0,18,9,9,3,0.05,0.05,0,0,0,0,87,1742
Cheick Timite,22,Ligue 1,Midfielder,Amiens SC,116,34,82,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,39,0
Cheikh Ahmet Tidian Niasse,20,Ligue 1,Forward,Lille,14,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
Choupo-Moting,31,Ligue 1,Forward,PSG,451,199,252,9,4,5,3,2,1,1,0,1,1,0,0,0.8,0.2,0.6,0.9,0.36,150,50,451
Christophe Jallet,37,Ligue 1,Defender,Amiens SC,855,632,223,12,8,4,1,1,0,1,0,14,11,3,0,0.21,0.11,0.11,0.14,0,855,71,855
Christopher Hérelle,28,Ligue 1,Defender,Nice,1106,700,406,15,10,5,3,2,1,0,0,14,9,5,4,0.24,0,0.24,0.26,0.22,369,74,0
Ciprian Tătărușanu,34,Ligue 1,Goalkeeper,Olympique Lyonnais,180,90,90,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,90,0
Clément Grenier,29,Ligue 1,Midfielder,Rennes,842,224,618,11,3,8,1,0,1,0,0,8,3,5,2,0.11,0,0.11,0,0.15,842,77,0
Clément Vidal,20,Ligue 1,Defender,Montpellier,90,0,90,1,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,90,0
Colin Dagba,22,Ligue 1,Defender,PSG,666,266,400,10,4,6,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,67,0
Corentin Jean,25,Ligue 1,Forward,Toulouse,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Cristian Battocchio,28,Ligue 1,Midfielder,Brest,1391,634,757,24,12,12,3,3,0,1,0,21,6,15,1,0.26,0.06,0.19,0.43,0,464,58,1391
Cristian Benavente Bristol,26,Ligue 1,Midfielder,Nantes,345,179,166,12,8,4,0,0,0,1,0,4,3,1,0,0.26,0.26,0,0,0,0,29,345
Damien Da Silva,32,Ligue 1,Defender,Rennes,2245,1080,1165,25,12,13,1,1,0,2,0,18,10,8,3,0.12,0.08,0.04,0.08,0,2245,90,1123
Damien Le Tallec,30,Ligue 1,Midfielder,Montpellier,2462,1205,1257,28,14,14,2,2,0,0,0,33,9,24,3,0.07,0,0.07,0.15,0,1231,88,0
Daniel Congré,35,Ligue 1,Defender,Montpellier,1943,997,946,24,13,11,0,0,0,1,0,26,9,17,4,0.05,0.05,0,0,0,0,81,1943
Danijel Petković,27,Ligue 1,Goalkeeper,Angers SCO,180,0,180,2,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,90,0
Danijel Subašić,36,Ligue 1,Goalkeeper,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Danilo Barbosa da Silva,24,Ligue 1,Midfielder,Nice,1119,710,409,16,10,6,0,0,0,0,0,14,10,4,4,0,0,0,0,0,0,70,0
Dante,37,Ligue 1,Defender,Nice,1890,1170,720,21,13,8,1,1,0,0,0,24,16,8,7,0.05,0,0.05,0.08,0,1890,90,0
Darío Ismael Benedetto,30,Ligue 1,Forward,Olympique Marseille,2115,952,1163,26,12,14,11,2,9,0,0,20,7,13,4,0.47,0,0.47,0.19,0.7,192,81,0
Dario Maresic,21,Ligue 1,Defender,Reims,90,90,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
Davy Rouyard,21,Ligue 1,Goalkeeper,Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Bouanga,26,Ligue 1,Midfielder,Saint-Étienne,2046,1004,1042,26,13,13,10,6,4,3,3,31,12,19,4,0.57,0.13,0.44,0.54,0.35,205,79,682
Denis Petrić,32,Ligue 1,Goalkeeper,Nantes,90,90,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,90,0
Dennis Appiah,28,Ligue 1,Defender,Nantes,1606,772,834,19,9,10,0,0,0,0,0,15,5,10,2,0,0,0,0,0,0,85,0
Denys Bain,27,Ligue 1,Defender,Brest,1267,744,523,15,9,6,1,1,0,0,0,14,6,8,4,0.07,0,0.07,0.12,0,1267,84,0
