full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Javier Jiménez García,23,La Liga,Defender,Valencia CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier López,34,La Liga,Defender,RCD Espanyol,1386,712,674,17,8,9,0,0,0,0,0,19,9,10,5,0,0,0,0,0,0,82,0
Javier López Carballo,18,La Liga,Defender,Deportivo Alavés,90,0,90,1,0,1,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,90,0
Javier Martínez Calvo,20,La Liga,Midfielder,CA Osasuna,10,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Javier Moyano Lujano,34,La Liga,Defender,Real Valladolid,2231,1319,912,26,15,11,0,0,0,0,0,16,7,9,4,0,0,0,0,0,0,86,0
Javier Muñoz Jiménez,25,La Liga,Midfielder,Deportivo Alavés,53,0,53,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,53,0
Javier Ontiveros Parra,23,La Liga,Midfielder,Villarreal,872,262,610,30,14,16,2,2,0,1,0,11,4,7,2,0.31,0.1,0.21,0.69,0,436,29,872
Javier Puado Díaz,22,La Liga,Forward,RCD Espanyol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Sánchez de Felipe,23,La Liga,Defender,Real Valladolid,497,226,271,8,3,5,0,0,0,1,0,6,1,5,1,0.18,0.18,0,0,0,0,62,497
Jean-Clair Todibo,20,La Liga,Midfielder,FC Barcelona,77,73,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
Jeison Murillo,28,La Liga,Defender,Celta de Vigo,1529,719,810,18,9,9,1,1,0,0,0,15,6,9,5,0.06,0,0.06,0.13,0,1529,85,0
Jesús Navas,34,La Liga,Midfielder,Sevilla FC,3370,1710,1660,38,19,19,0,0,0,7,0,31,14,17,4,0.19,0.19,0,0,0,0,89,481
Jesús Ruiz Suárez,23,La Liga,Goalkeeper,RCD Mallorca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesús Vallejo Lázaro,23,La Liga,Defender,Granada CF,627,194,433,11,5,6,0,0,0,0,0,6,2,4,1,0,0,0,0,0,0,57,0
